score,r2_1,r2_2,epochs,kernel_size,points,model_param1,model_param2,telescope,t_int,label,ps_bins_to_make,ps_bins_to_use
NA,NA,NA,NA,NA,NA,25,3,NA,NA,"testing optuna for PS xgb model",419,7,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",330,12,
NA,NA,NA,NA,NA,NA,10,4,NA,NA,"testing optuna for PS xgb model",346,12,
NA,NA,NA,NA,NA,NA,150,4,NA,NA,"testing optuna for PS xgb model",204,12,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",365,9,
NA,NA,NA,NA,NA,NA,15,4,NA,NA,"testing optuna for PS xgb model",346,9,
NA,NA,NA,NA,NA,NA,20,5,NA,NA,"testing optuna for PS xgb model",335,13,
NA,NA,NA,NA,NA,NA,25,4,NA,NA,"testing optuna for PS xgb model",311,16,
NA,NA,NA,NA,NA,NA,10,5,NA,NA,"testing optuna for PS xgb model",161,10,
NA,NA,NA,NA,NA,NA,35,4,NA,NA,"testing optuna for PS xgb model",228,18,
NA,NA,NA,NA,NA,NA,95,5,NA,NA,"testing optuna for PS xgb model",469,14,
NA,NA,NA,NA,NA,NA,50,3,NA,NA,"testing optuna for PS xgb model",279,8,
NA,NA,NA,NA,NA,NA,20,6,NA,NA,"testing optuna for PS xgb model",364,26,
NA,NA,NA,NA,NA,NA,10,3,NA,NA,"testing optuna for PS xgb model",726,11,
NA,NA,NA,NA,NA,NA,10,3,NA,NA,"testing optuna for PS xgb model",630,11,
NA,NA,NA,NA,NA,NA,30,3,NA,NA,"testing optuna for PS xgb model",733,12,
NA,NA,NA,NA,NA,NA,20,3,NA,NA,"testing optuna for PS xgb model",618,19,
NA,NA,NA,NA,NA,NA,15,3,NA,NA,"testing optuna for PS xgb model",837,23,
NA,NA,NA,NA,NA,NA,10,3,NA,NA,"testing optuna for PS xgb model",1023,11,
NA,NA,NA,NA,NA,NA,130,3,NA,NA,"testing optuna for PS xgb model",1049,10,
NA,NA,NA,NA,NA,NA,30,3,NA,NA,"testing optuna for PS xgb model",881,8,
NA,NA,NA,NA,NA,NA,40,3,NA,NA,"testing optuna for PS xgb model",1177,17,
