INFO:__main__:Finished run: score=0.9085270166397095, r2=[0.8882285952568054, 0.9288254380226135]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [51], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9091692566871643, r2=[0.883834183216095, 0.9345043301582336]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [22], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9129882752895355, r2=[0.8928750157356262, 0.9331015348434448]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [9], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.933083713054657, r2=[0.9155569076538086, 0.9506105184555054]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [5], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9188069701194763, r2=[0.9047921299934387, 0.9328218102455139]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [7], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.933083713054657, r2=[0.9155569076538086, 0.9506105184555054]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [5], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9170410931110382, r2=[0.8964204788208008, 0.9376617074012756]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [15], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9173515439033508, r2=[0.8966594338417053, 0.9380436539649963]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [16], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9131834208965302, r2=[0.8852671384811401, 0.9410997033119202]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [10], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.915794849395752, r2=[0.8909542560577393, 0.9406354427337646]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [28], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.933083713054657, r2=[0.9155569076538086, 0.9506105184555054]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [5], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9169833958148956, r2=[0.8971505165100098, 0.9368162751197815]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [11], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9056453108787537, r2=[0.8776164054870605, 0.9336742162704468]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [61], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.8456684350967407, r2=[0.7863316535949707, 0.9050052165985107]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [1628], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9248369634151459, r2=[0.9044930338859558, 0.9451808929443359]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [6], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9188069701194763, r2=[0.9047921299934387, 0.9328218102455139]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [7], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.933083713054657, r2=[0.9155569076538086, 0.9506105184555054]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [5], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9222703278064728, r2=[0.8993039131164551, 0.9452367424964905]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [12], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9035803377628326, r2=[0.87061607837677, 0.9365445971488953]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [23], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9188069701194763, r2=[0.9047921299934387, 0.9328218102455139]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [7], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9129882752895355, r2=[0.8928750157356262, 0.9331015348434448]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [9], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9030950963497162, r2=[0.8746911883354187, 0.9314990043640137]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [97], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.8735050559043884, r2=[0.8357788920402527, 0.9112312197685242]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [253], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.8399971127510071, r2=[0.7765218019485474, 0.9034724235534668]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [757], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.933083713054657, r2=[0.9155569076538086, 0.9506105184555054]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [5], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9188069701194763, r2=[0.9047921299934387, 0.9328218102455139]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [7], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.933083713054657, r2=[0.9155569076538086, 0.9506105184555054]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [5], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9173515439033508, r2=[0.8966594338417053, 0.9380436539649963]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [16], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
INFO:__main__:Finished run: score=0.9155840277671814, r2=[0.9004693627357483, 0.9306986927986145]. Commandline: f21_predict_by_stats.py --limitsamplesize 80 --psbatchsize 1 --label pure signal first try --regressor xgb --trials 1000 --scale_y --runmode optimize --pure_signal. Parameters: epochs: 50, kernel_sizes: [8], points: 2762, model_param1=83, model_param2=4, label=pure signal first try
