score,r2_1,r2_2,epochs,kernel_size,points,model_param1,model_param2,telescope,t_int,label
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA"
