score,r2_1,r2_2,epochs,kernel_size,points,model_param1,model_param2,telescope,t_int,label
0.9004463255405426,0.8764800429344177,0.9244126081466675,50,71,2762,83,4,NA,NA,"pure signal first try"
0.933083713054657,0.9155569076538086,0.9506105184555054,50,5,2762,83,4,NA,NA,"pure signal first try"
0.9187427759170532,0.8983988165855408,0.9390867352485657,50,19,2762,83,4,NA,NA,"pure signal first try"
0.8779241740703583,0.8359974026679993,0.9198509454727173,50,181,2762,83,4,NA,NA,"pure signal first try"
0.9155840277671814,0.9004693627357483,0.9306986927986145,50,8,2762,83,4,NA,NA,"pure signal first try"
0.933083713054657,0.9155569076538086,0.9506105184555054,50,5,2762,83,4,NA,NA,"pure signal first try"
0.8792984187602997,0.8366532921791077,0.9219435453414917,50,175,2762,83,4,NA,NA,"pure signal first try"
0.839345782995224,0.7682347297668457,0.9104568362236023,50,494,2762,83,4,NA,NA,"pure signal first try"
0.9051947295665741,0.8780533075332642,0.932336151599884,50,117,2762,83,4,NA,NA,"pure signal first try"
0.8311732709407806,0.7591035962104797,0.9032429456710815,50,433,2762,83,4,NA,NA,"pure signal first try"
0.9120187163352966,0.8915215730667114,0.9325158596038818,50,29,2762,83,4,NA,NA,"pure signal first try"
0.933083713054657,0.9155569076538086,0.9506105184555054,50,5,2762,83,4,NA,NA,"pure signal first try"
0.8522911071777344,0.7963776588439941,0.9082045555114746,50,1606,2762,83,4,NA,NA,"pure signal first try"
0.919517457485199,0.8970385789871216,0.9419963359832764,50,14,2762,83,4,NA,NA,"pure signal first try"
0.933083713054657,0.9155569076538086,0.9506105184555054,50,5,2762,83,4,NA,NA,"pure signal first try"
0.9049553871154785,0.877850353717804,0.9320604205131531,50,40,2762,83,4,NA,NA,"pure signal first try"
0.9131834208965302,0.8852671384811401,0.9410997033119202,50,10,2762,83,4,NA,NA,"pure signal first try"
0.9085270166397095,0.8882285952568054,0.9288254380226135,50,51,2762,83,4,NA,NA,"pure signal first try"
0.9091692566871643,0.883834183216095,0.9345043301582336,50,22,2762,83,4,NA,NA,"pure signal first try"
0.9129882752895355,0.8928750157356262,0.9331015348434448,50,9,2762,83,4,NA,NA,"pure signal first try"
0.933083713054657,0.9155569076538086,0.9506105184555054,50,5,2762,83,4,NA,NA,"pure signal first try"
0.9188069701194763,0.9047921299934387,0.9328218102455139,50,7,2762,83,4,NA,NA,"pure signal first try"
0.933083713054657,0.9155569076538086,0.9506105184555054,50,5,2762,83,4,NA,NA,"pure signal first try"
0.9170410931110382,0.8964204788208008,0.9376617074012756,50,15,2762,83,4,NA,NA,"pure signal first try"
0.9173515439033508,0.8966594338417053,0.9380436539649963,50,16,2762,83,4,NA,NA,"pure signal first try"
0.9131834208965302,0.8852671384811401,0.9410997033119202,50,10,2762,83,4,NA,NA,"pure signal first try"
0.915794849395752,0.8909542560577393,0.9406354427337646,50,28,2762,83,4,NA,NA,"pure signal first try"
0.933083713054657,0.9155569076538086,0.9506105184555054,50,5,2762,83,4,NA,NA,"pure signal first try"
0.9169833958148956,0.8971505165100098,0.9368162751197815,50,11,2762,83,4,NA,NA,"pure signal first try"
0.9056453108787537,0.8776164054870605,0.9336742162704468,50,61,2762,83,4,NA,NA,"pure signal first try"
0.8456684350967407,0.7863316535949707,0.9050052165985107,50,1628,2762,83,4,NA,NA,"pure signal first try"
0.9248369634151459,0.9044930338859558,0.9451808929443359,50,6,2762,83,4,NA,NA,"pure signal first try"
0.9188069701194763,0.9047921299934387,0.9328218102455139,50,7,2762,83,4,NA,NA,"pure signal first try"
0.933083713054657,0.9155569076538086,0.9506105184555054,50,5,2762,83,4,NA,NA,"pure signal first try"
0.9222703278064728,0.8993039131164551,0.9452367424964905,50,12,2762,83,4,NA,NA,"pure signal first try"
