INFO:__main__:Finished run: score=-1.6099053919315338, r2=[0.030297935009002686, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=96, ps_bin_to_use=2, model_param1=130, model_param2=7, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.4581542909145355, r2=[0.33380013704299927, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=397, ps_bin_to_use=96, model_param1=95, model_param2=3, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.5160868465900421, r2=[0.21792548894882202, -3.2500991821289062]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=684, ps_bin_to_use=10, model_param1=40, model_param2=5, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.5178160071372986, r2=[0.12202036380767822, -3.1576523780822754]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=113, ps_bin_to_use=28, model_param1=15, model_param2=6, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.65558922290802, r2=[-0.06106972694396973, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=315, ps_bin_to_use=5, model_param1=80, model_param2=4, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.3395106792449951, r2=[0.040704965591430664, -2.719726324081421]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=537, ps_bin_to_use=2, model_param1=10, model_param2=5, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.5660821795463562, r2=[0.11750662326812744, -3.24967098236084]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=817, ps_bin_to_use=5, model_param1=30, model_param2=5, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.6378991603851318, r2=[-0.02568960189819336, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=412, ps_bin_to_use=3, model_param1=55, model_param2=4, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.5599297285079956, r2=[0.12981152534484863, -3.24967098236084]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=248, ps_bin_to_use=13, model_param1=30, model_param2=6, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.5119789242744446, r2=[0.22615087032318115, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=1149, ps_bin_to_use=6, model_param1=65, model_param2=7, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.3300804793834686, r2=[0.05956536531448364, -2.719726324081421]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=564, ps_bin_to_use=3, model_param1=10, model_param2=5, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.61780446767807, r2=[0.014499783515930176, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=375, ps_bin_to_use=2, model_param1=50, model_param2=3, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.6204450130462646, r2=[0.006588935852050781, -3.24747896194458]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=32, ps_bin_to_use=36, model_param1=25, model_param2=4, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.6374311447143555, r2=[-0.024753570556640625, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=146, ps_bin_to_use=13, model_param1=105, model_param2=6, label=testing optuna for PS xgb model
INFO:__main__:Finished run: score=-1.5084849298000336, r2=[0.23313885927200317, -3.2501087188720703]. Commandline: ./f21_predict_xgb.py --limitsamplesize 200 --psbatchsize 10 --label testing optuna for PS xgb model --trials 1000 --scale_y --runmode optimize -p /user1/21cm_forest/21cmFAST_los/F21_noisy/. Parameters: ps_bin_to_make=763, ps_bin_to_use=18, model_param1=155, model_param2=8, label=testing optuna for PS xgb model
